locality,bhk,area_sqft,price_lakhs
Agripada,2,1300,390
Agripada,1,700,240
Agripada,2,1250,400
Agripada,1,570,132
Agripada,2,850,275
Agripada,1,622,130
Agripada,2,850,275
Agripada,1,622,130
Agripada,2,1015,250
Agripada,2,1000,300
Agripada,2,1000,300
Agripada,3,1323,300
Agripada,2,560,135
Agripada,2,1400,350
Agripada,2,826,170
Agripada,3,1323,225
Agripada,2,1055,225
Agripada,2,1359,388
Agripada,2,1402,385
Agripada,2,1237,385
Agripada,3,2475,400
Agripada,1,803,250
Agripada,2,1270,385
Agripada,2,1200,365
Agripada,2,800,270
Agripada,2,1250,425
Agripada,2,1250,350
Agripada,2,750,180
Agripada,1,650,145
Agripada,2,750,180
Agripada,1,650,145
Airoli,3,2060,290
Airoli,2,1110,181
Airoli,1,750,115
Airoli,2,1250,140
Airoli,2,1300,195
Airoli,1,900,85
Airoli,1,750,95
Airoli,1,800,85
Airoli,3,1400,170
Airoli,2,933,130
Airoli,1,430,50
Airoli,1,680,75
Airoli,1,720,85
Airoli,2,1450,160
Airoli,2,980,135
Airoli,2,1150,190
Airoli,1,650,72
Airoli,2,1250,150
Airoli,2,1250,150
Airoli,2,1245,195
Airoli,2,1245,195
Airoli,2,1190,135
Airoli,2,1190,135
Airoli,2,1250,140
Airoli,2,1250,130
Airoli,1,550,71
Airoli,1,550,71
Airoli,2,700,99
Airoli,1,550,78
Airoli,1,700,70
Airoli,2,1105,123
Airoli,2,1105,125
Airoli,2,1150,143
Airoli,2,1150,142
Airoli,1,730,87
Airoli,1,730,85
Airoli,1,430,50
Airoli,2,1050,150
Airoli,2,650,100
Airoli,1,550,78
Airoli,2,650,110
Airoli,1,420,76
Airoli,1,450,73
Airoli,1,450,75
Airoli,1,680,75
Airoli,1,680,68
Airoli,2,570,90
Airoli,2,1160,135
Airoli,1,655,76
Airoli,3,1952,267
Airoli,2,1435,199
Airoli,3,1850,295
Airoli,2,752,130
Airoli,1,589,66
Airoli,2,1300,190
Airoli,1,750,88
Airoli,2,1450,185
Airoli,2,1240,190
Airoli,2,1150,175
Airoli,2,1230,130
Airoli,2,1100,165
Airoli,2,1200,160
Airoli,2,1150,158
Airoli,4,1600,160
Airoli,3,2100,265
Airoli,2,1310,180
Airoli,2,1450,178
Airoli,2,1030,162
Airoli,1,690,102
Airoli,2,1165,170
Airoli,2,1250,175
Airoli,1,750,98
Airoli,2,980,125
Airoli,3,1680,189
Airoli,2,1245,132
Airoli,2,1150,130
Airoli,2,800,123
Airoli,1,650,72
Airoli,1,737,98
Airoli,1,650,115
Airoli,2,1100,130
Airoli,3,1350,150
Airoli,2,1219,170
Airoli,2,1279,179
Airoli,3,1408,215
Airoli,3,1496,230
Airoli,3,1538,236
Airoli,2,1007,127
Airoli,1,650,79
Airoli,2,1080,125
Airoli,2,1050,190
Airoli,1,675,75
Airoli,2,1245,170
Airoli,2,1245,170
Airoli,1,610,70
Airoli,1,655,72
Airoli,2,1050,150
Airoli,2,1150,140
Airoli,2,1280,180
Airoli,3,1300,155
Airoli,2,1150,165
Airoli,1,650,120
Airoli,1,625,65
Airoli,1,450,45
Airoli,1,630,67
Airoli,2,1050,135
Airoli,1,630,75
Airoli,2,1100,155
Airoli,2,1050,120
Airoli,2,1100,155
Airoli,2,1050,120
Airoli,1,575,60
Airoli,2,650,83
Airoli,1,705,88
Airoli,1,600,65
Airoli,2,1190,180
Airoli,1,650,75
Airoli,1,675,72
Airoli,2,1165,120
Airoli,2,980,160
Airoli,1,650,85
Airoli,2,1200,106
Airoli,1,750,76
Airoli,2,1050,140
Airoli,2,1410,175
Airoli,2,1150,190
Airoli,3,1650,252
Airoli,1,1000,137
Airoli,1,650,67
Airoli,2,980,155
Airoli,2,990,175
Airoli,1,650,90
Airoli,1,930,98
Airoli,1,625,70
Airoli,1,550,85
Airoli,3,1538,232
Airoli,2,1279,189
Airoli,3,1408,214
Airoli,2,1219,181
Airoli,2,1100,130
Airoli,2,1100,130
Airoli,2,980,155
Airoli,2,452,75
Airoli,1,550,82
Airoli,2,1245,180
Airoli,3,1420,225
Airoli,3,1099,150
Airoli,2,1150,135
Airoli,3,1550,205
Airoli,1,350,42
Airoli,1,490,85
Airoli,2,1150,130
Airoli,2,1000,116
Airoli,2,1000,116
Airoli,2,1190,144
Airoli,2,1190,144
Airoli,2,1190,144
Airoli,2,1050,145
Airoli,2,1050,145
Airoli,2,1050,145
Airoli,1,700,88
Airoli,1,700,88
Airoli,1,700,85
Airoli,1,690,85
Airoli,1,650,75
Airoli,2,1080,155
Airoli,2,1120,138
Airoli,1,815,88
Airoli,1,815,88
Airoli,1,815,88
Airoli,2,1400,168
Airoli,1,700,95
Airoli,1,650,72
Airoli,2,1275,190
Airoli,2,1150,135
Airoli,2,1280,183
Airoli,3,1540,230
Airoli,2,1320,178
Airoli,2,1050,145
Airoli,2,1400,187
Airoli,2,1400,168
Airoli,2,1400,168
Airoli,2,1400,168
Airoli,2,980,110
Airoli,2,980,142
Airoli,2,980,142
Airoli,2,950,130
Airoli,2,950,130
Airoli,2,900,118
Airoli,2,900,118
Airoli,2,900,120
Airoli,2,990,152
Airoli,2,990,152
Airoli,2,980,110
Airoli,3,1875,280
Airoli,1,680,85
Airoli,1,680,85
Airoli,2,1100,130
Airoli,1,650,80
Airoli,1,690,78
Airoli,1,500,96
Airoli,1,555,90
Airoli,2,1250,190
Airoli,2,945,100
Airoli,2,1100,148
Airoli,2,945,100
Airoli,2,945,100
Airoli,1,650,65
Airoli,1,650,65
Airoli,1,488,92
Airoli,1,488,92
Airoli,3,1450,225
Airoli,2,1030,170
Airoli,2,1350,200
Airoli,2,900,175
Airoli,1,650,97
Airoli,1,650,97
Airoli,2,1279,185
Airoli,3,1952,260
Airoli,2,1300,230
